Batch,Instrument,QC Name,Date QC,Analyte,Result
ENBS_250507_BATCH,SCIEX-Gromit,ENBS1,2025-05-07,C8,0.18
ENBS_250507_BATCH,SCIEX-Gromit,ENBS2,2025-05-07,C8,0.45
ENBS_250507_BATCH,SCIEX-Gromit,ENBS3,2025-05-07,C8,2.27
ENBS_250507_BATCH,SCIEX-Gromit,ENBS1,2025-05-07,C8,0.18
ENBS_250507_BATCH,SCIEX-Gromit,ENBS2,2025-05-07,C8,0.43
ENBS_250507_BATCH,SCIEX-Gromit,ENBS3,2025-05-07,C8,2.1
ENBS_250507_BATCH,SCIEX-Gromit,ENBS1,2025-05-07,C8,0.18
ENBS_250507_BATCH,SCIEX-Gromit,ENBS2,2025-05-07,C8,0.43
ENBS_250507_BATCH,SCIEX-Gromit,ENBS3,2025-05-07,C8,2.13
ENBS_250507_BATCH,SCIEX-Gromit,ENBS1,2025-05-07,C8,0.18
ENBS_250507_BATCH,SCIEX-Gromit,ENBS2,2025-05-07,C8,0.4
ENBS_250507_BATCH,SCIEX-Gromit,ENBS3,2025-05-07,C8,1.99
ENBS_250507_BATCH,SCIEX-Gromit,ENBS1,2025-05-07,C8,0.17
ENBS_250507_BATCH,SCIEX-Gromit,ENBS2,2025-05-07,C8,0.49
ENBS_250507_BATCH,SCIEX-Gromit,ENBS3,2025-05-07,C8,2.35
ENBS_250507_BATCH,SCIEX-Gromit,ENBS1,2025-05-07,C8,0.18
ENBS_250507_BATCH,SCIEX-Gromit,ENBS2,2025-05-07,C8,0.44
ENBS_250507_BATCH,SCIEX-Gromit,ENBS3,2025-05-07,C8,2.14
ENBS_250507_BATCH,SCIEX-Gromit,ENBS1,2025-05-07,C8,0.17
ENBS_250507_BATCH,SCIEX-Gromit,ENBS2,2025-05-07,C8,0.49
ENBS_250507_BATCH,SCIEX-Gromit,ENBS3,2025-05-07,C8,2.17
ENBS_250507_BATCH,SCIEX-Gromit,ENBS1,2025-05-07,C8,0.17
ENBS_250507_BATCH,SCIEX-Gromit,ENBS2,2025-05-07,C8,0.47
ENBS_250507_BATCH,SCIEX-Gromit,ENBS3,2025-05-07,C8,2.48
ENBS_250507_RIEQA,SCIEX-Wallace,ENBS1,2025-05-07,C8,0.17
ENBS_250507_RIEQA,SCIEX-Wallace,ENBS2,2025-05-07,C8,0.49
ENBS_250507_RIEQA,SCIEX-Wallace,ENBS3,2025-05-07,C8,2.15
ENBS_250507_RIEQA,SCIEX-Wallace,ENBS1,2025-05-07,C8,0.16
ENBS_250507_RIEQA,SCIEX-Wallace,ENBS2,2025-05-07,C8,0.48
ENBS_250507_RIEQA,SCIEX-Wallace,ENBS3,2025-05-07,C8,2.46
ENBS_250508_ISCHK,SCIEX-Wallace,ENBS1,2025-05-08,C8,0.19
ENBS_250508_ISCHK,SCIEX-Wallace,ENBS2,2025-05-08,C8,0.5
ENBS_250508_ISCHK,SCIEX-Wallace,ENBS3,2025-05-08,C8,2.38
ENBS_250508_ISCHK,SCIEX-Wallace,ENBS1,2025-05-08,C8,0.19
ENBS_250508_ISCHK,SCIEX-Wallace,ENBS2,2025-05-08,C8,0.48
ENBS_250508_ISCHK,SCIEX-Wallace,ENBS3,2025-05-08,C8,2.34
ENBS_250508_BATCH,SCIEX-Wallace,ENBS1,2025-05-08,C8,0.17
ENBS_250508_BATCH,SCIEX-Wallace,ENBS2,2025-05-08,C8,0.46
ENBS_250508_BATCH,SCIEX-Wallace,ENBS3,2025-05-08,C8,2.36
ENBS_250508_BATCH,SCIEX-Wallace,ENBS1,2025-05-08,C8,0.19
ENBS_250508_BATCH,SCIEX-Wallace,ENBS2,2025-05-08,C8,0.5
ENBS_250508_BATCH,SCIEX-Wallace,ENBS3,2025-05-08,C8,2.48
ENBS_250508_BATCH,SCIEX-Wallace,ENBS1,2025-05-08,C8,0.17
ENBS_250508_BATCH,SCIEX-Wallace,ENBS2,2025-05-08,C8,0.47
ENBS_250508_BATCH,SCIEX-Wallace,ENBS3,2025-05-08,C8,2.62
ENBS_250508_BATCH,SCIEX-Wallace,ENBS1,2025-05-08,C8,0.17
ENBS_250508_BATCH,SCIEX-Wallace,ENBS2,2025-05-08,C8,0.48
ENBS_250508_BATCH,SCIEX-Wallace,ENBS3,2025-05-08,C8,2.36
ENBS_250509_BATCH,SCIEX-Gromit,ENBS1,2025-05-09,C8,0.18
ENBS_250509_BATCH,SCIEX-Gromit,ENBS2,2025-05-09,C8,0.48
ENBS_250509_BATCH,SCIEX-Gromit,ENBS3,2025-05-09,C8,2.37
ENBS_250509_BATCH,SCIEX-Gromit,ENBS1,2025-05-09,C8,0.19
ENBS_250509_BATCH,SCIEX-Gromit,ENBS2,2025-05-09,C8,0.49
ENBS_250509_BATCH,SCIEX-Gromit,ENBS3,2025-05-09,C8,2.47
ENBS_250509_BATCH,SCIEX-Gromit,ENBS1,2025-05-09,C8,0.17
ENBS_250509_BATCH,SCIEX-Gromit,ENBS2,2025-05-09,C8,0.48
ENBS_250509_BATCH,SCIEX-Gromit,ENBS3,2025-05-09,C8,2.63
ENBS_250509_BATCH,SCIEX-Gromit,ENBS1,2025-05-09,C8,0.19
ENBS_250509_BATCH,SCIEX-Gromit,ENBS2,2025-05-09,C8,0.49
ENBS_250509_BATCH,SCIEX-Gromit,ENBS3,2025-05-09,C8,2.39
ENBS_250512_BATCH,SCIEX-Wallace,ENBS1,2025-05-12,C8,0.19
ENBS_250512_BATCH,SCIEX-Wallace,ENBS2,2025-05-12,C8,0.48
ENBS_250512_BATCH,SCIEX-Wallace,ENBS3,2025-05-12,C8,2.48
ENBS_250512_BATCH,SCIEX-Wallace,ENBS1,2025-05-12,C8,0.19
ENBS_250512_BATCH,SCIEX-Wallace,ENBS2,2025-05-12,C8,0.47
ENBS_250512_BATCH,SCIEX-Wallace,ENBS3,2025-05-12,C8,2.5
ENBS_250512_BATCH,SCIEX-Wallace,ENBS1,2025-05-12,C8,0.18
ENBS_250512_BATCH,SCIEX-Wallace,ENBS2,2025-05-12,C8,0.52
ENBS_250512_BATCH,SCIEX-Wallace,ENBS3,2025-05-12,C8,2.53
ENBS_250512_BATCH,SCIEX-Wallace,ENBS1,2025-05-12,C8,0.19
ENBS_250512_BATCH,SCIEX-Wallace,ENBS2,2025-05-12,C8,0.53
ENBS_250512_BATCH,SCIEX-Wallace,ENBS3,2025-05-12,C8,2.63
ENBS_250512_BATCH,SCIEX-Wallace,ENBS1,2025-05-12,C8,0.2
ENBS_250512_BATCH,SCIEX-Wallace,ENBS2,2025-05-12,C8,0.51
ENBS_250512_BATCH,SCIEX-Wallace,ENBS3,2025-05-12,C8,2.32
ENBS_250512_BATCH,SCIEX-Wallace,ENBS1,2025-05-12,C8,0.22
ENBS_250512_BATCH,SCIEX-Wallace,ENBS2,2025-05-12,C8,0.52
ENBS_250512_BATCH,SCIEX-Wallace,ENBS3,2025-05-12,C8,2.52
ENBS_250513_BATCH,SCIEX-Gromit,ENBS1,2025-05-13,C8,0.22
ENBS_250513_BATCH,SCIEX-Gromit,ENBS2,2025-05-13,C8,0.49
ENBS_250513_BATCH,SCIEX-Gromit,ENBS3,2025-05-13,C8,2.44
ENBS_250513_BATCH,SCIEX-Gromit,ENBS1,2025-05-13,C8,0.19
ENBS_250513_BATCH,SCIEX-Gromit,ENBS2,2025-05-13,C8,0.43
ENBS_250513_BATCH,SCIEX-Gromit,ENBS3,2025-05-13,C8,2.55
ENBS_250513_BATCH,SCIEX-Gromit,ENBS1,2025-05-13,C8,0.22
ENBS_250513_BATCH,SCIEX-Gromit,ENBS2,2025-05-13,C8,0.46
ENBS_250513_BATCH,SCIEX-Gromit,ENBS3,2025-05-13,C8,2.48
ENBS_250513_BATCH,SCIEX-Gromit,ENBS1,2025-05-13,C8,0.2
ENBS_250513_BATCH,SCIEX-Gromit,ENBS2,2025-05-13,C8,0.46
ENBS_250513_BATCH,SCIEX-Gromit,ENBS3,2025-05-13,C8,2.41
ENBS_250513_BATCH,SCIEX-Gromit,ENBS1,2025-05-13,C8,0.2
ENBS_250513_BATCH,SCIEX-Gromit,ENBS2,2025-05-13,C8,0.47
ENBS_250513_BATCH,SCIEX-Gromit,ENBS3,2025-05-13,C8,2.41
ENBS_250513_BATCH,SCIEX-Gromit,ENBS1,2025-05-13,C8,0.2
ENBS_250513_BATCH,SCIEX-Gromit,ENBS2,2025-05-13,C8,0.43
ENBS_250513_BATCH,SCIEX-Gromit,ENBS3,2025-05-13,C8,2.45
ENBS_250513_BATCH,SCIEX-Gromit,ENBS1,2025-05-13,C8,0.2
ENBS_250513_BATCH,SCIEX-Gromit,ENBS2,2025-05-13,C8,0.49
ENBS_250513_BATCH,SCIEX-Gromit,ENBS3,2025-05-13,C8,2.66
ENBS_250513_BATCH,SCIEX-Gromit,ENBS1,2025-05-13,C8,0.19
ENBS_250513_BATCH,SCIEX-Gromit,ENBS2,2025-05-13,C8,0.46
ENBS_250513_BATCH,SCIEX-Gromit,ENBS3,2025-05-13,C8,2.55
ENBS_250514_RTEST,SCIEX-Gromit,ENBS1,2025-05-14,C8,0.17
ENBS_250514_RTEST,SCIEX-Gromit,ENBS2,2025-05-14,C8,0.45
ENBS_250514_RTEST,SCIEX-Gromit,ENBS3,2025-05-14,C8,2.63
ENBS_250514_RTEST,SCIEX-Gromit,ENBS1,2025-05-14,C8,0.18
ENBS_250514_RTEST,SCIEX-Gromit,ENBS2,2025-05-14,C8,0.44
ENBS_250514_RTEST,SCIEX-Gromit,ENBS3,2025-05-14,C8,2.22
ENBS_250514_BATCH,SCIEX-Gromit,ENBS1,2025-05-14,C8,0.19
ENBS_250514_BATCH,SCIEX-Gromit,ENBS2,2025-05-14,C8,0.44
ENBS_250514_BATCH,SCIEX-Gromit,ENBS3,2025-05-14,C8,2.52
ENBS_250514_BATCH,SCIEX-Gromit,ENBS1,2025-05-14,C8,0.21
ENBS_250514_BATCH,SCIEX-Gromit,ENBS2,2025-05-14,C8,0.48
ENBS_250514_BATCH,SCIEX-Gromit,ENBS3,2025-05-14,C8,2.37
ENBS_250514_BATCH,SCIEX-Gromit,ENBS1,2025-05-14,C8,0.18
ENBS_250514_BATCH,SCIEX-Gromit,ENBS2,2025-05-14,C8,0.46
ENBS_250514_BATCH,SCIEX-Gromit,ENBS3,2025-05-14,C8,2.42
ENBS_250514_BATCH,SCIEX-Gromit,ENBS1,2025-05-14,C8,0.17
ENBS_250514_BATCH,SCIEX-Gromit,ENBS2,2025-05-14,C8,0.48
ENBS_250514_BATCH,SCIEX-Gromit,ENBS3,2025-05-14,C8,2.61
ENBS_250514_BATCH,SCIEX-Gromit,ENBS1,2025-05-14,C8,0.19
ENBS_250514_BATCH,SCIEX-Gromit,ENBS2,2025-05-14,C8,0.52
ENBS_250514_BATCH,SCIEX-Gromit,ENBS3,2025-05-14,C8,2.28
ENBS_250514_BATCH,SCIEX-Gromit,ENBS1,2025-05-14,C8,0.2
ENBS_250514_BATCH,SCIEX-Gromit,ENBS2,2025-05-14,C8,0.48
ENBS_250514_BATCH,SCIEX-Gromit,ENBS3,2025-05-14,C8,2.37
ENBS_250515_BATCH,SCIEX-Wallace,ENBS1,2025-05-15,C8,0.18
ENBS_250515_BATCH,SCIEX-Wallace,ENBS2,2025-05-15,C8,0.49
ENBS_250515_BATCH,SCIEX-Wallace,ENBS3,2025-05-15,C8,2.47
ENBS_250515_BATCH,SCIEX-Wallace,ENBS1,2025-05-15,C8,0.18
ENBS_250515_BATCH,SCIEX-Wallace,ENBS2,2025-05-15,C8,0.47
ENBS_250515_BATCH,SCIEX-Wallace,ENBS3,2025-05-15,C8,2.56
ENBS_250516_BATCH,SCIEX-Gromit,ENBS1,2025-05-16,C8,0.21
ENBS_250516_BATCH,SCIEX-Gromit,ENBS2,2025-05-16,C8,0.48
ENBS_250516_BATCH,SCIEX-Gromit,ENBS3,2025-05-16,C8,2.4
ENBS_250516_BATCH,SCIEX-Gromit,ENBS1,2025-05-16,C8,0.21
ENBS_250516_BATCH,SCIEX-Gromit,ENBS2,2025-05-16,C8,0.47
ENBS_250516_BATCH,SCIEX-Gromit,ENBS3,2025-05-16,C8,2.41
ENBS_250516_BATCH,SCIEX-Gromit,ENBS1,2025-05-16,C8,0.19
ENBS_250516_BATCH,SCIEX-Gromit,ENBS2,2025-05-16,C8,0.43
ENBS_250516_BATCH,SCIEX-Gromit,ENBS3,2025-05-16,C8,2.47
ENBS_250516_BATCH,SCIEX-Gromit,ENBS1,2025-05-16,C8,0.19
ENBS_250516_BATCH,SCIEX-Gromit,ENBS2,2025-05-16,C8,0.45
ENBS_250516_BATCH,SCIEX-Gromit,ENBS3,2025-05-16,C8,2.45
ENBS_250516_BATCH,SCIEX-Gromit,ENBS1,2025-05-16,C8,0.17
ENBS_250516_BATCH,SCIEX-Gromit,ENBS2,2025-05-16,C8,0.43
ENBS_250516_BATCH,SCIEX-Gromit,ENBS3,2025-05-16,C8,2.51
ENBS_250516_BATCH,SCIEX-Gromit,ENBS1,2025-05-16,C8,0.18
ENBS_250516_BATCH,SCIEX-Gromit,ENBS2,2025-05-16,C8,0.45
ENBS_250516_BATCH,SCIEX-Gromit,ENBS3,2025-05-16,C8,2.39
ENBS_250519_BATCH,SCIEX-Wallace,ENBS1,2025-05-19,C8,0.18
ENBS_250519_BATCH,SCIEX-Wallace,ENBS2,2025-05-19,C8,0.46
ENBS_250519_BATCH,SCIEX-Wallace,ENBS3,2025-05-19,C8,2.64
ENBS_250519_BATCH,SCIEX-Wallace,ENBS1,2025-05-19,C8,0.2
ENBS_250519_BATCH,SCIEX-Wallace,ENBS2,2025-05-19,C8,0.45
ENBS_250519_BATCH,SCIEX-Wallace,ENBS3,2025-05-19,C8,2.48
ENBS_250519_BATCH,SCIEX-Wallace,ENBS1,2025-05-19,C8,0.19
ENBS_250519_BATCH,SCIEX-Wallace,ENBS2,2025-05-19,C8,0.46
ENBS_250519_BATCH,SCIEX-Wallace,ENBS3,2025-05-19,C8,2.45
ENBS_250519_BATCH,SCIEX-Wallace,ENBS1,2025-05-19,C8,0.19
ENBS_250519_BATCH,SCIEX-Wallace,ENBS2,2025-05-19,C8,0.46
ENBS_250519_BATCH,SCIEX-Wallace,ENBS3,2025-05-19,C8,2.45
ENBS_250519_BATCH,SCIEX-Wallace,ENBS1,2025-05-19,C8,0.18
ENBS_250519_BATCH,SCIEX-Wallace,ENBS2,2025-05-19,C8,0.47
ENBS_250519_BATCH,SCIEX-Wallace,ENBS3,2025-05-19,C8,2.29
ENBS_250519_BATCH,SCIEX-Wallace,ENBS1,2025-05-19,C8,0.17
ENBS_250519_BATCH,SCIEX-Wallace,ENBS2,2025-05-19,C8,0.51
ENBS_250519_BATCH,SCIEX-Wallace,ENBS3,2025-05-19,C8,2.48
ENBS_250519_ISCHK,SCIEX-Wallace,ENBS1,2025-05-19,C8,0.19
ENBS_250519_ISCHK,SCIEX-Wallace,ENBS2,2025-05-19,C8,0.48
ENBS_250519_ISCHK,SCIEX-Wallace,ENBS3,2025-05-19,C8,2.31
ENBS_250519_ISCHK,SCIEX-Wallace,ENBS1,2025-05-19,C8,0.2
ENBS_250519_ISCHK,SCIEX-Wallace,ENBS2,2025-05-19,C8,0.51
ENBS_250519_ISCHK,SCIEX-Wallace,ENBS3,2025-05-19,C8,2.38
ENBS_250520_BATCH,SCIEX-Gromit,ENBS1,2025-05-20,C8,0.17
ENBS_250520_BATCH,SCIEX-Gromit,ENBS1,2025-05-20,C8,0.17
ENBS_250520_BATCH,SCIEX-Gromit,ENBS2,2025-05-20,C8,0.52
ENBS_250520_BATCH,SCIEX-Gromit,ENBS3,2025-05-20,C8,2.74
ENBS_250520_BATCH,SCIEX-Gromit,ENBS1,2025-05-20,C8,0.17
ENBS_250520_BATCH,SCIEX-Gromit,ENBS2,2025-05-20,C8,0.51
ENBS_250520_BATCH,SCIEX-Gromit,ENBS3,2025-05-20,C8,2.38
ENBS_250520_BATCH,SCIEX-Gromit,ENBS1,2025-05-20,C8,0.17
ENBS_250520_BATCH,SCIEX-Gromit,ENBS2,2025-05-20,C8,0.49
ENBS_250520_BATCH,SCIEX-Gromit,ENBS3,2025-05-20,C8,2.5
ENBS_250520_BATCH,SCIEX-Gromit,ENBS1,2025-05-20,C8,0.19
ENBS_250520_BATCH,SCIEX-Gromit,ENBS2,2025-05-20,C8,0.51
ENBS_250520_BATCH,SCIEX-Gromit,ENBS3,2025-05-20,C8,2.59
ENBS_250520_BATCH,SCIEX-Gromit,ENBS1,2025-05-20,C8,0.18
ENBS_250520_BATCH,SCIEX-Gromit,ENBS2,2025-05-20,C8,0.47
ENBS_250520_BATCH,SCIEX-Gromit,ENBS3,2025-05-20,C8,2.53
ENBS_250520_BATCH,SCIEX-Gromit,ENBS1,2025-05-20,C8,0.21
ENBS_250520_BATCH,SCIEX-Gromit,ENBS2,2025-05-20,C8,0.45
ENBS_250520_BATCH,SCIEX-Gromit,ENBS3,2025-05-20,C8,2.47
ENBS_250520_BATCH,SCIEX-Gromit,ENBS1,2025-05-20,C8,0.18
ENBS_250520_BATCH,SCIEX-Gromit,ENBS2,2025-05-20,C8,0.47
ENBS_250520_BATCH,SCIEX-Gromit,ENBS3,2025-05-20,C8,2.46
ENBS_250520_BATCH,SCIEX-Gromit,ENBS1,2025-05-20,C8,0.19
ENBS_250520_BATCH,SCIEX-Gromit,ENBS2,2025-05-20,C8,0.48
ENBS_250520_BATCH,SCIEX-Gromit,ENBS3,2025-05-20,C8,2.38
ENBS_250521_BATCH,SCIEX-Wallace,ENBS1,2025-05-21,C8,0.2
ENBS_250521_BATCH,SCIEX-Wallace,ENBS2,2025-05-21,C8,0.46
ENBS_250521_BATCH,SCIEX-Wallace,ENBS3,2025-05-21,C8,2.34
ENBS_250521_BATCH,SCIEX-Wallace,ENBS1,2025-05-21,C8,0.16
ENBS_250521_BATCH,SCIEX-Wallace,ENBS2,2025-05-21,C8,0.44
ENBS_250521_BATCH,SCIEX-Wallace,ENBS3,2025-05-21,C8,2.23
ENBS_250521_BATCH,SCIEX-Wallace,ENBS1,2025-05-21,C8,0.18
ENBS_250521_BATCH,SCIEX-Wallace,ENBS2,2025-05-21,C8,0.45
ENBS_250521_BATCH,SCIEX-Wallace,ENBS3,2025-05-21,C8,2.38
ENBS_250521_BATCH,SCIEX-Wallace,ENBS1,2025-05-21,C8,0.17
ENBS_250521_BATCH,SCIEX-Wallace,ENBS2,2025-05-21,C8,0.44
ENBS_250521_BATCH,SCIEX-Wallace,ENBS3,2025-05-21,C8,2.35
ENBS_250521_BATCH,SCIEX-Wallace,ENBS1,2025-05-21,C8,0.17
ENBS_250521_BATCH,SCIEX-Wallace,ENBS2,2025-05-21,C8,0.46
ENBS_250521_BATCH,SCIEX-Wallace,ENBS3,2025-05-21,C8,2.27
ENBS_250521_BATCH,SCIEX-Wallace,ENBS1,2025-05-21,C8,0.2
ENBS_250521_BATCH,SCIEX-Wallace,ENBS2,2025-05-21,C8,0.47
ENBS_250521_BATCH,SCIEX-Wallace,ENBS3,2025-05-21,C8,2.39
ENBS_250522_BATCH,SCIEX-Gromit,ENBS1,2025-05-22,C8,0.2
ENBS_250522_BATCH,SCIEX-Gromit,ENBS2,2025-05-22,C8,0.46
ENBS_250522_BATCH,SCIEX-Gromit,ENBS3,2025-05-22,C8,2.39
ENBS_250522_BATCH,SCIEX-Gromit,ENBS1,2025-05-22,C8,0.19
ENBS_250522_BATCH,SCIEX-Gromit,ENBS2,2025-05-22,C8,0.45
ENBS_250522_BATCH,SCIEX-Gromit,ENBS3,2025-05-22,C8,2.54
ENBS_250522_BATCH,SCIEX-Gromit,ENBS1,2025-05-22,C8,0.18
ENBS_250522_BATCH,SCIEX-Gromit,ENBS2,2025-05-22,C8,0.42
ENBS_250522_BATCH,SCIEX-Gromit,ENBS3,2025-05-22,C8,2.49
ENBS_250522_BATCH,SCIEX-Gromit,ENBS1,2025-05-22,C8,0.2
ENBS_250522_BATCH,SCIEX-Gromit,ENBS2,2025-05-22,C8,0.43
ENBS_250522_BATCH,SCIEX-Gromit,ENBS3,2025-05-22,C8,2.59
ENBS_250523_BATCH,SCIEX-Wallace,ENBS1,2025-05-23,C8,0.19
ENBS_250523_BATCH,SCIEX-Wallace,ENBS3,2025-05-23,C8,2.55
ENBS_250523_BATCH,SCIEX-Wallace,ENBS2,2025-05-23,C8,0.49
ENBS_250523_BATCH,SCIEX-Wallace,ENBS1,2025-05-23,C8,0.19
ENBS_250523_BATCH,SCIEX-Wallace,ENBS2,2025-05-23,C8,0.46
ENBS_250523_BATCH,SCIEX-Wallace,ENBS3,2025-05-23,C8,2.38
ENBS_250523_BATCH,SCIEX-Wallace,ENBS1,2025-05-23,C8,0.2
ENBS_250523_BATCH,SCIEX-Wallace,ENBS2,2025-05-23,C8,0.43
ENBS_250523_BATCH,SCIEX-Wallace,ENBS3,2025-05-23,C8,2.16
ENBS_250523_BATCH,SCIEX-Wallace,ENBS1,2025-05-23,C8,0.2
ENBS_250523_BATCH,SCIEX-Wallace,ENBS2,2025-05-23,C8,0.42
ENBS_250523_BATCH,SCIEX-Wallace,ENBS3,2025-05-23,C8,2.09
ENBS_250527_BATCH,SCIEX-Gromit,ENBS1,2025-05-27,C8,0.2
ENBS_250527_BATCH,SCIEX-Gromit,ENBS2,2025-05-27,C8,0.42
ENBS_250527_BATCH,SCIEX-Gromit,ENBS3,2025-05-27,C8,2.11
ENBS_250527_BATCH,SCIEX-Gromit,ENBS1,2025-05-27,C8,0.2
ENBS_250527_BATCH,SCIEX-Gromit,ENBS2,2025-05-27,C8,0.43
ENBS_250527_BATCH,SCIEX-Gromit,ENBS3,2025-05-27,C8,2.17
ENBS_250527_BATCH,SCIEX-Gromit,ENBS1,2025-05-27,C8,0.2
ENBS_250527_BATCH,SCIEX-Gromit,ENBS2,2025-05-27,C8,0.46
ENBS_250527_BATCH,SCIEX-Gromit,ENBS3,2025-05-27,C8,2.19
ENBS_250527_BATCH,SCIEX-Gromit,ENBS1,2025-05-27,C8,0.21
ENBS_250527_BATCH,SCIEX-Gromit,ENBS2,2025-05-27,C8,0.43
ENBS_250527_BATCH,SCIEX-Gromit,ENBS3,2025-05-27,C8,2.2
ENBS_250527_BATCH,SCIEX-Gromit,ENBS1,2025-05-27,C8,0.19
ENBS_250527_BATCH,SCIEX-Gromit,ENBS2,2025-05-27,C8,0.41
ENBS_250527_BATCH,SCIEX-Gromit,ENBS3,2025-05-27,C8,2.01
ENBS_250527_BATCH,SCIEX-Gromit,ENBS1,2025-05-27,C8,0.19
ENBS_250527_BATCH,SCIEX-Gromit,ENBS2,2025-05-27,C8,0.44
ENBS_250527_BATCH,SCIEX-Gromit,ENBS3,2025-05-27,C8,2.09
ENBS_250527_BATCH,SCIEX-Gromit,ENBS1,2025-05-27,C8,0.21
ENBS_250527_BATCH,SCIEX-Gromit,ENBS2,2025-05-27,C8,0.42
ENBS_250527_BATCH,SCIEX-Gromit,ENBS3,2025-05-27,C8,2.52
ENBS_250527_BATCH,SCIEX-Gromit,ENBS1,2025-05-27,C8,0.21
ENBS_250527_BATCH,SCIEX-Gromit,ENBS2,2025-05-27,C8,0.43
ENBS_250527_BATCH,SCIEX-Gromit,ENBS3,2025-05-27,C8,2.27
ENBS_250528_RTEST,SCIEX-Wallace,ENBS1,2025-05-28,C8,0.2
ENBS_250528_RTEST,SCIEX-Wallace,ENBS2,2025-05-28,C8,0.49
ENBS_250528_RTEST,SCIEX-Wallace,ENBS3,2025-05-28,C8,2.33
ENBS_250528_RTEST,SCIEX-Wallace,ENBS1,2025-05-28,C8,0.2
ENBS_250528_RTEST,SCIEX-Wallace,ENBS2,2025-05-28,C8,0.47
ENBS_250528_RTEST,SCIEX-Wallace,ENBS3,2025-05-28,C8,2.25
ENBS_250528_BATCH,SCIEX-Wallace,ENBS1,2025-05-28,C8,0.21
ENBS_250528_BATCH,SCIEX-Wallace,ENBS2,2025-05-28,C8,0.47
ENBS_250528_BATCH,SCIEX-Wallace,ENBS3,2025-05-28,C8,2.43
ENBS_250528_BATCH,SCIEX-Wallace,ENBS1,2025-05-28,C8,0.19
ENBS_250528_BATCH,SCIEX-Wallace,ENBS2,2025-05-28,C8,0.44
ENBS_250528_BATCH,SCIEX-Wallace,ENBS3,2025-05-28,C8,2.57
ENBS_250528_BATCH,SCIEX-Wallace,ENBS1,2025-05-28,C8,0.18
ENBS_250528_BATCH,SCIEX-Wallace,ENBS2,2025-05-28,C8,0.46
ENBS_250528_BATCH,SCIEX-Wallace,ENBS3,2025-05-28,C8,2.22
ENBS_250528_BATCH,SCIEX-Wallace,ENBS1,2025-05-28,C8,0.19
ENBS_250528_BATCH,SCIEX-Wallace,ENBS2,2025-05-28,C8,0.46
ENBS_250528_BATCH,SCIEX-Wallace,ENBS3,2025-05-28,C8,2.36
ENBS_250528_BATCH,SCIEX-Wallace,ENBS1,2025-05-28,C8,0.2
ENBS_250528_BATCH,SCIEX-Wallace,ENBS2,2025-05-28,C8,0.47
ENBS_250528_BATCH,SCIEX-Wallace,ENBS3,2025-05-28,C8,2.24
